Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,19.2354817
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,821.809
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6024
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.679699
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.8039369697
adsorption_energy_widom_dev,0.0524524809
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,38.473453978
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,3.32722e-06
henry_coefficient_dev,1.90326e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.006169184947056, 0.023403621955889, 0.034396961081189, 0.038406719135374, 0.050108015641148, 0.049034256873606, 0.073513345133742, 0.070781822577799, 0.096624529351677, 0.074196362150428, 0.051947676380461, 0.14361817067848, 0.11317588644253, 0.10267705587999, 0.087463036235051, 0.15179713717688, 0.10475531661628, 0.03948543158597], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.066592283418472, 0.26008587104662, 0.45522752756062, 0.65788849836625, 0.84836062637037, 0.98513317651086, 1.1812533739258, 1.3797083355957, 1.4983692953762, 1.6189358348059, 1.7935281323996, 1.9408414564558, 2.0555024157113, 2.2229015793136, 2.3275024514118, 2.5245153528066, 2.6252363960693, 2.6869531423672], 'enthalpy_of_adsorption_dev': [0.46696679221438, 0.44315475626284, 0.69776118497086, 0.25829627597216, 0.45402081930275, 0.71207717442818, 0.70025391401229, 0.3367684434578, 1.1794019937974, 0.47897130694337, 0.25777609272239, 0.682563168791, 0.8206665918369, 0.75151014774721, 0.71589751648333, 0.70157691252401, 0.32100798184131, 0.63167390852477], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-12.124203520325, -12.380436673235, -12.225001039302, -12.478895512709, -12.575437296816, -12.390037331737, -12.317424692159, -12.403451647502, -12.357728750426, -12.564881477971, -12.538630282773, -12.071504992808, -12.687398002877, -12.614676111846, -12.440076326358, -12.707939520923, -12.727456868956, -12.842678157192]}"
temperature,298
temperature_unit,K
