Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,14.4646328
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,824.947
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6047
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.682294
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-24.3765214212
adsorption_energy_widom_dev,0.2033966649
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,60.4275444139
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,8.62928e-05
henry_coefficient_dev,3.31069e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.4100090193322, 0.66966244642455, 0.99797104691734, 1.4246039121905, 1.99822266325, 2.59822266325, 3.19822266325, 3.79822266325, 4.39822266325, 4.99822266325, 5.59822266325, 6.19822266325, 6.79822266325, 7.39822266325, 7.99822266325, 8.59822266325, 9.19822266325, 9.79822266325, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.25187232600292, 0.28393911888127, 0.34598886367778, 0.59061344555345, 0.28119900768901, 0.40116458415574, 0.23123882574967, 0.24043101497333, 0.19375869475308, 0.23490071052214, 0.27074907162216, 0.35442957441654, 0.14260628536112, 0.11220239852076, 0.38185037911428, 0.22085367348531, 0.19686624482618, 0.24210137907239, 0.28369531222266, 0.16474731418991], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [1.728206235414, 3.6468502640636, 5.5458204703885, 7.2531683339661, 8.727297282813, 10.000722342656, 10.737100121711, 11.607812682345, 11.957306290449, 12.389787033908, 12.685975913985, 12.968568225754, 13.198181989797, 13.558302208737, 13.665598360159, 13.746748585402, 13.931006120316, 14.044001843301, 14.438886015302, 14.201255082825], 'enthalpy_of_adsorption_dev': [2.0681661719588, 1.5491225960939, 1.760501949731, 2.4739060720195, 2.1370268389414, 3.7397153475842, 2.9950399674075, 1.3174603111255, 3.4967803746477, 4.1281365560018, 2.9146387135932, 2.4930849816667, 3.2733502864317, 3.8220950504269, 3.4864514396415, 5.7593569795382, 4.4471016687037, 3.3023523650362, 5.1677550988169, 4.0542648557864], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-26.818429489578, -27.417920647194, -28.328197849891, -28.435574734146, -27.591446293017, -27.708045945474, -27.400933459712, -27.05850689681, -29.060196885419, -29.517599378082, -27.754887214919, -28.597893375903, -29.822180372985, -30.077541759165, -32.198905157434, -30.22403457135, -30.106920006984, -31.403986098293, -29.347099681558, -30.450360679454]}"
temperature,298
temperature_unit,K
