Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,12.3247066
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1198.13
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4526
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.435502
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.6840208024
adsorption_energy_widom_dev,0.0249523736
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,16.908493601
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,1.05251e-05
henry_coefficient_dev,5.32012e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.011622788074575, 0.014225278378556, 0.07917969950618, 0.059932158128881, 0.070475570179269, 0.062244479438468, 0.081202128081857, 0.056300727778397, 0.096623621716455, 0.10516757790718, 0.07209459905677, 0.07014966936305, 0.10825380351627, 0.088393937628606, 0.1262668917945, 0.087520368783554, 0.11021396236337, 0.096125367555841], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.20410199344272, 0.76179366444108, 1.2379511712288, 1.6904884167816, 2.093994506751, 2.4673716859427, 2.7684897779784, 3.075432457436, 3.3019274242832, 3.5466908725982, 3.8005785018604, 4.0019945456629, 4.2330968718582, 4.3858439105303, 4.5474435173852, 4.6872537349642, 4.842737021999, 4.9292608154635], 'enthalpy_of_adsorption_dev': [0.155572298022, 0.26372949872374, 0.33799912698611, 0.22420524972355, 0.29155129580205, 0.52716033523734, 0.48267128948309, 0.31605070963558, 0.51231954802824, 0.60914729822986, 0.82487184156045, 0.36249705253881, 0.45375796729108, 0.4320978440714, 0.6309844603527, 0.35418468816775, 0.61129992600168, 0.42423992916116], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-16.20022972737, -16.408011191207, -16.705660206364, -17.175044024843, -17.367041979497, -17.432483267234, -17.626009827642, -17.827868349505, -17.86623930558, -18.034148562021, -17.935884695651, -18.290846823477, -18.425397138177, -18.491105152445, -18.439611882966, -18.721374456445, -18.773598895845, -18.985041114797]}"
temperature,298
temperature_unit,K
