Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,9.3060792
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1207.66
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4562
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.438966
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-23.6269097282
adsorption_energy_widom_dev,0.0533994107
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,26.5569800057
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,0.000184115
henry_coefficient_dev,1.59171e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.29845867850245, 0.42631878779623, 0.59808512811664, 0.83901695658812, 1.1966373041462, 1.7698102974049, 2.3698102974049, 2.9698102974049, 3.5698102974049, 4.1698102974049, 4.7698102974049, 5.3698102974049, 5.9698102974049, 6.5698102974049, 7.1698102974049, 7.7698102974049, 8.3698102974049, 8.9698102974049, 9.5698102974049, 10.169810297405, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.26708095582979, 0.14668366652457, 0.18679643367289, 0.18897048941729, 0.093146480582406, 0.12784848764814, 0.19592679743465, 0.07326896070224, 0.13735645971426, 0.060532382707728, 0.11440644232487, 0.095226283818884, 0.22268328108848, 0.13737993074938, 0.13336406905815, 0.20650804835891, 0.11948064845102, 0.1540349530335, 0.14078667875669, 0.35527027449509, 0.09202993976717, 0.13645359114229], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [4.8265006073203, 6.4240974174456, 7.3764426102908, 8.1787971321589, 8.6125226705344, 9.0282915792326, 9.3533216649014, 9.5317612705636, 9.6986522987668, 9.744072008974, 9.8583908543327, 9.9510309676172, 9.9881513952284, 9.9923966040029, 10.0416188946, 10.09348689587, 10.075902476523, 10.133574945763, 10.214002538921, 10.251937805187, 10.348712470104, 10.267952905643], 'enthalpy_of_adsorption_dev': [1.0732835715414, 1.7014824025342, 1.062195214221, 2.5104517057029, 4.5630889975306, 3.1737795598347, 2.4322469215867, 10.649607916989, 10.612833595238, 8.5667199288286, 4.045386113259, 5.6568326224506, 7.1837307708297, 6.9479033033183, 3.6081153292925, 4.2849606146018, 9.1616338746019, 11.156122072286, 6.8145122346661, 3.5951744946912, 15.489656298587, 8.2375621378032], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-32.508637682605, -35.385637092282, -37.685721234192, -36.299156918012, -36.77856518088, -40.115698452687, -37.189591928363, -39.865184289076, -37.397686430038, -40.550337648516, -38.186534633708, -38.304333807255, -38.263501118289, -36.186879848345, -32.686350968214, -40.130797435833, -37.350946679637, -38.720498781938, -38.365907892877, -38.263863211195, -33.91988085439, -37.850008896427]}"
temperature,298
temperature_unit,K
