Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,13.6296072
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,3224.29
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5673
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.642906
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-19.874444931
adsorption_energy_widom_dev,0.0750799335
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,14.5682062393
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.07234e-05
henry_coefficient_dev,2.27654e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.57588250433815, 1.0356553330829, 1.6095210393465, 2.2095210393465, 2.8095210393465, 3.4095210393465, 4.0095210393465, 4.6095210393465, 5.2095210393465, 5.8095210393465, 6.4095210393465, 7.0095210393465, 7.6095210393465, 8.2095210393465, 8.8095210393465, 9.4095210393465, 10.009521039347, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.06587802712403, 0.096628751303432, 0.056467309513081, 0.20295855848116, 0.18753496406596, 0.22432624708502, 0.14862436585701, 0.054788451914471, 0.15534455912528, 0.15547181948647, 0.12040830407991, 0.19943660959486, 0.14068555899657, 0.15373129868396, 0.22737079703685, 0.14711410593956, 0.14154304925525, 0.31386116712446, 0.12802044884396], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.79469249167831, 2.4440984662037, 4.1294292927044, 5.5134052433961, 6.4025784402462, 7.1428538865592, 7.6361915024285, 8.1383282237471, 8.4456015947548, 8.929279233146, 9.1858770410678, 9.5103016317282, 9.8561818021857, 10.070489271688, 10.333320124204, 10.588303797071, 10.764782562996, 11.031512172488, 11.025080465119], 'enthalpy_of_adsorption_dev': [0.61193718457177, 0.74342977226809, 1.4248834568024, 0.6339923923075, 1.3508196935306, 1.8137349197243, 1.5837235622293, 2.2232809608141, 2.1423315789911, 0.9982703349879, 2.8194205848362, 1.6163520657172, 1.0721727070914, 1.643514837079, 0.9550649688625, 2.9064234948825, 1.7694888545226, 1.7591794001979, 2.0587636294098], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-22.226689947037, -24.097177670799, -24.830009644725, -25.96468633858, -24.904748779859, -24.911308689398, -23.722622118015, -23.957635379512, -23.150928221629, -22.935109043592, -22.924407472999, -23.312532239156, -22.614733980195, -22.557586407589, -22.909542208143, -22.905547379711, -23.591263458964, -23.583447324005, -23.574470413143]}"
temperature,298
temperature_unit,K
