Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,24.3227746
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8394.52
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5829
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.859462
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.2795205071
adsorption_energy_widom_dev,0.0606664267
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,4.7626758606
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,3.33116e-06
henry_coefficient_dev,1.84489e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.004285222633155, 0.024796335966165, 0.021292818195307, 0.017442694819711, 0.020921540131952, 0.058026720208896, 0.040342166544596, 0.049840401928614, 0.051210445770114, 0.055223464983428, 0.07062670206517, 0.068489548477931, 0.026637389787564, 0.061301283686327, 0.060456705643313, 0.043602715026273, 0.048731649499555, 0.042948325309982], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.067325431932, 0.26138758920165, 0.45210897693225, 0.6286257186075, 0.80512545891105, 0.98401389193845, 1.1450253826233, 1.2972301627676, 1.4622114737444, 1.6426640329681, 1.7714069201664, 1.9521230006516, 2.1328475818226, 2.2498255198044, 2.4156313973086, 2.5221449910091, 2.6998093252741, 2.7757969560873], 'enthalpy_of_adsorption_dev': [0.24163097287005, 0.32655579390221, 0.83065324719596, 0.29386671987894, 0.97392076359615, 0.54329822154598, 0.4179373841178, 0.41140462946796, 0.36804529694944, 0.7054797585493, 0.76214379785987, 0.22642205648816, 0.47230953746892, 0.63929410590906, 0.84723205540728, 0.50500383294671, 0.41027948084774, 0.48334696897891], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.753476590756, -11.599813507604, -11.772722473041, -11.663821223383, -11.544818371538, -12.089648050685, -11.35369226676, -11.535274001646, -11.579549524831, -11.666205050178, -11.465810447898, -11.340943769591, -11.611751598447, -11.301713934133, -11.519808851529, -11.634499264174, -11.27046402767, -11.250686438353]}"
temperature,298
temperature_unit,K
