Key,Value
Density,0.909567
Density_unit,g/cm^3
Estimated_saturation_loading,10.2344484
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,2189.3
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4391
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.482757
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,4985.87
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.8437589806
adsorption_energy_widom_dev,0.0072927572
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,7.4649453328
conversion_factor_molec_uc_to_mg_g,16.1096362244
conversion_factor_molec_uc_to_mol_kg,0.3661380816
henry_coefficient_average,8.83387e-06
henry_coefficient_dev,1.98859e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0090627496050042, 0.021425914377087, 0.091828441809137, 0.039740295765603, 0.07127535375291, 0.14301682248309, 0.053823493545878, 0.14686271521684, 0.11713816167621, 0.14402705215126, 0.16325163007345, 0.09791593414081, 0.085642456173299, 0.12696734285504, 0.095467536678842, 0.101809432331, 0.12966160482145, 0.064411811143711], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.1811925831318, 0.75313688039916, 1.3057857007662, 1.8969247869614, 2.5714975885013, 3.1421054817708, 3.6208218700108, 4.1219367553926, 4.5829686742913, 4.9838807201912, 5.2758758402672, 5.5713767324746, 5.8924066024214, 6.0838602052901, 6.3000555890228, 6.464167830648, 6.7258284106634, 6.6928942902235], 'enthalpy_of_adsorption_dev': [0.15563098118447, 0.3688086020969, 0.35030087384534, 0.2452641573753, 0.6552731452612, 0.54191035394478, 0.066692557764419, 0.39428299784657, 0.45131709527492, 0.46488181886209, 0.77408923864874, 0.36683080990746, 1.4691406799531, 0.62964578084857, 1.2913219841527, 0.77160489054069, 1.3835333200303, 0.99597203029774], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-16.52596941957, -17.078763978615, -17.634859694196, -18.123297165615, -18.91947053786, -19.409002602413, -20.015881951893, -20.356804270285, -21.178004955393, -21.738885618551, -22.214019937974, -22.600393105685, -22.678896510439, -23.109214287496, -23.522497734321, -23.740273627497, -23.801905747757, -23.860196469698]}"
temperature,298
temperature_unit,K
